city,ep,year,pop,epdays,epnights
St. Louis,44835635.91708174,2011,2449789.7837363426,38348128.502815455,51323143.33134804
St. Louis,48976646.12347059,2012,2447429.896803981,52468088.58999976,45485203.65694143
St. Louis,15960819.11789597,2013,2445070.016539211,13044894.587242942,18876743.648548998
St. Louis,9577875.309163041,2014,2442710.1328310263,9905304.235293245,9250446.38303284
St. Louis,7210606.156521888,2015,2440350.2469488424,6866184.8734399155,7555027.439603862
St. Louis,21684875.633053456,2016,2433477.3501785146,12750800.274943039,30618950.991163872
St. Louis,17569494.676769216,2017,2426604.455898771,20347670.419192966,14791318.934345465
St. Louis,24644104.138636887,2018,2419731.561738033,24006469.30947773,25281738.967796046
St. Louis,10768032.48998792,2019,2412858.66032641,10819427.6131683,10716637.366807539
St. Louis,18727810.885161005,2020,2405985.764946371,20053711.590926386,17401910.179395624
Naples,42066542.081770286,2010,6142758.297739336,25107863.892353717,59025220.27118686
Naples,46633176.49287927,2011,6150599.7213698905,37908600.137703516,55357752.84805502
Naples,130231590.58841503,2012,6158441.160442624,119776499.29265893,140686681.88417113
Naples,71958918.9363564,2013,6166282.5799963605,49294998.98636128,94622838.88635153
Naples,21243905.104066387,2014,6174123.971500566,24682425.80826279,17805384.39986998
Naples,111537490.48685467,2015,6181965.408152686,77324948.36806928,145750032.60564005
Naples,50593994.5858444,2016,6180085.736351557,41428077.89624771,59759911.27544108
Naples,105707917.8253155,2017,6178206.075710474,121969442.6234829,89446393.0271481
Naples,42901561.94530901,2018,6176326.414757876,23393259.504110605,62409864.38650743
Naples,107216664.84626582,2019,6174446.737690248,94300253.20677438,120133076.48575725
Naples,93288793.32928997,2020,6172567.07007845,75846926.58965325,110730660.06892668
Singapore,6583337.63715819,2010,8014130.986872366,2207474.6339710797,10959200.6403453
Singapore,6523356.556393686,2011,8175864.3063817015,1179921.9253460225,11866791.187441349
Singapore,7804882.775629647,2012,8337597.605567596,2262057.422514394,13347708.1287449
Singapore,4549130.605808377,2013,8499330.953903088,1702476.9251907468,7395784.286426008
Singapore,10580519.357162476,2014,8661064.250029396,631309.8101501465,20529728.904174805
Singapore,10281085.845036857,2015,8822797.554644698,2848731.8274651375,17713439.862608578
Singapore,10261438.30064705,2016,8942639.106107999,2214428.1875716746,18308448.413722426
Singapore,9767678.43911311,2017,9062480.65180368,866614.1224345565,18668742.755791664
Singapore,12462780.507927895,2018,9182322.168374043,228696.76391601562,24696864.251939774
Singapore,13829191.486189514,2019,9302163.70701341,4509873.440838158,23148509.53154087
Singapore,12388818.393224478,2020,9422005.271711636,5889704.143300111,18887932.643148843
Las Vegas,49494217.96288882,2010,2764182.3247593036,21797004.513101064,77191431.41267657
Las Vegas,26840362.510994233,2011,2864463.910407957,16315477.049281184,37365247.97270729
Las Vegas,39499145.32416604,2012,2964745.490460044,28350909.89845364,50647380.74987844
Las Vegas,39764256.85157768,2013,3065027.075446794,25081955.291876245,54446558.41127911
Las Vegas,34991647.37411355,2014,3165308.656191017,23366341.478117496,46616953.27010961
Las Vegas,34577237.627235696,2015,3265590.240499777,18714690.616139717,50439784.63833167
Las Vegas,56220749.54771757,2016,3348350.3242739593,31572751.367201276,80868747.72823387
Las Vegas,73056775.65439537,2017,3431110.40594966,48749727.7935745,97363823.51521626
Las Vegas,62407286.99699039,2018,3513870.4859538623,40293390.538549885,84521183.4554309
Las Vegas,37681445.8363851,2019,3596630.569954385,32069440.58110436,43293451.09166585
Las Vegas,69875357.97068939,2020,3679390.6460524816,42103037.80480389,97647678.1365749
Lima,12606590.106375964,2010,10466116.338539425,3547600.49312321,21665579.719628718
Lima,19799570.0415715,2011,10742422.965533974,19172470.37781935,20426669.70532365
Lima,21602559.38414346,2012,11018729.582606947,7689536.708150284,35515582.06013664
Lima,29432436.16428733,2013,11295036.178274354,14771902.525804669,44092969.80276999
Lima,16540857.169840459,2014,11571342.811564244,11874712.55469631,21207001.784984607
Lima,19135618.707937907,2015,11847649.41921059,8307274.315286929,29963963.100588888
Lima,26282144.480845023,2016,12072700.29424891,4142152.2354774084,48422136.726212636
Lima,22995112.858796656,2017,12297751.18289749,20174471.452909295,25815754.264684014
Lima,19715379.66940043,2018,12522802.032916063,3679373.167964734,35751386.17083613
Lima,23897753.538548127,2019,12747852.869487006,2880380.132582549,44915126.94451371
Lima,20618502.778094746,2020,12972903.780591756,5744377.202690724,35492628.35349877
San Antonio,11989316.62503102,2010,2320915.2857585847,7292856.811556699,16685776.43850534
San Antonio,60252527.90285059,2011,2389592.2310942104,58932918.71473281,61572137.09096837
San Antonio,23939075.580491778,2012,2458269.1789311096,21482026.73028315,26396124.430700406
San Antonio,20643710.080748096,2013,2526946.1224002093,17342477.239165828,23944942.922330365
San Antonio,17150788.20613668,2014,2595623.069446842,14057833.21684764,20243743.195425726
San Antonio,17112259.644046843,2015,2664300.0177009758,12944637.805303015,21279881.482790668
San Antonio,16040568.033074163,2016,2736264.777281121,11383474.656295612,20697661.409852713
San Antonio,18316613.712385565,2017,2808229.5344818695,20509350.18244779,16123877.242323339
San Antonio,25869576.661122307,2018,2880194.291286235,25487071.695814706,26252081.626429908
San Antonio,18091606.58708716,2019,2952159.052721509,16407713.05662856,19775500.11754576
San Antonio,28171742.735051896,2020,3024123.8117275303,22538157.787520044,33805327.68258375
Hyderabad,129034267.32081267,2010,10010301.900896559,93888649.2686968,164179885.37292856
Hyderabad,64512643.59305988,2011,10185012.589450035,34326725.921292715,94698561.26482706
Hyderabad,85812050.33876142,2012,10359723.315121662,75226535.94226938,96397564.73525345
Hyderabad,135032395.13363266,2013,10534433.985825207,89523072.59039749,180541717.67686784
Hyderabad,80901241.01709959,2014,10709144.675915569,31951265.18259006,129851216.85160913
Hyderabad,81092053.65300073,2015,10883855.381874023,41035004.26869315,121149103.0373083
Hyderabad,173922048.36227566,2016,11050963.980545774,110592259.41310401,237251837.31144732
Hyderabad,139201055.8538489,2017,11218072.578639837,111863636.75217381,166538474.955524
